,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Micronesia (Federated States of),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Iran,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Macedonia (Republic of),Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Bolivia,Poland,Portugal,Qatar,Cameroon,South Korea,Moldova,South Sudan,Sudan,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Lucia,Sint Maarten (Dutch part),Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Saint Kitts and Nevis,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,USA,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna Islands,Yemen,Zambia,Zimbabwe,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU28,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America
1995,,0.682419788573959,,,,,,35.924978601432706,0.7640330195080215,,72.12546520146564,25.045287607235185,6.373175979759449,,3.9059201353493815,7.606318334864908,,9.447308017587403,45.489185973498714,,0.4731037858063508,,,,,0.831,78.2962741024453,,1.3749931715255699,11.626204661922358,0.24033910499321143,,0.5959019438460312,137.8581810014631,,,,,11.407983146535212,780.4211406897751,18.649313612274426,,,,1.8445868751550911,2.159787025339217,5.265172157365888,,,1.7773859809999508,32.266136183653416,,,18.639028315490645,,,4.266918253465149,6.145445718961829,27.244701037985653,1.7866956714841316,,,4.230507677902049,1.0145954592833064,,,,,20.45943524657809,139.8904625591012,,,,,0.6124524464753659,311.10930271741796,1.7423553963786613,,27.560822691868108,,,,2.4604610234361117,0.34099999999999997,,,,1.2031167981962299,35.01470154619257,20.354031765535407,,209.7870018831043,56.69733705414307,,11.484287954545472,68.61059484322924,18.057807144678556,151.88392056848446,2.376206915847809,410.1172557007031,5.0540728946831885,35.849940768724544,2.8388193456438238,,14.255622554301876,2.7663519472768887,0.2617368781355743,3.4302685847143373,,,,,,7.556075296148827,2.503835568003608,,,0.47736604802376514,0.4686390181442136,29.747392870568753,,,0.9438959909505383,,,,0.9355915476445859,85.12032769402678,1.6431406764729215,,,10.568472657267415,0.9915383971508153,,0.4449999999999999,,0.7097739831114853,59.709672313436606,,8.368126506425458,0.9270672686546185,,9.211941435166537,,13.217182362400665,,4.934396023170813,24.338775930397972,,0.8600398577736683,,1.451509761991427,7.473223012312687,21.757417648097597,2.3889960211012906,88.044824800635,17.309242664725804,7.76636588807701,1.2979051600133515,121.23133813829016,,,,,28.986155794035255,320.6892687171815,0.12599999999999997,,,,,,61.25723174593273,1.0114179523191624,,,,25.46263553485747,12.615491699066952,5.0053944318073444,,,71.32102806663558,78.41320752638742,2.5172847047810762,,,,,,23.219387785681068,24.41960287565514,,60.18832711452804,,48.729458061198855,,0.4015562781481154,,3.776784674539873,4.96959119910558,60.110166553808455,,,0.5651485469557084,59.14859062765728,20.21090401774028,174.51910846198456,1.3517992050375187,1469.865619236185,1.644862001732073,,,31.80891596812531,8.623177110707756,,,0.9175999032353818,4.499053366105564,3843.2854280319384,2410.732639297817,3701.6516300746757,2551.5067524595024,1329.3377329791763,189.32718768722734,1982.1782082121401,32.21586983096882,1775.7444185411616,302.24482523308853,1693.4185152810364,82.44915877236758,196.43661025287258
1996,,0.8008182622821931,,,,,,37.95649881101133,0.8096816684026286,,73.94002348612618,27.040295920078545,7.801241855524365,,3.982726010197105,8.05652674860947,,12.849173050905506,45.14118887878612,,0.4885832365100459,,,,,0.7519999999999999,86.54500249074812,,1.652300842336603,12.265438015993436,0.2697921898500758,,0.6651655795214215,140.05025398572198,,,,,13.374238694179159,820.8928418952128,18.69029635460613,,,,1.8087982311595217,2.0195412303703364,5.485036798172384,,,2.089000501768202,31.61879244759433,,,20.069788529517297,,,4.684920618669028,6.323802246856152,29.33283282342682,1.6854156285910558,,,4.548059059037511,1.1107909089677652,,,,,20.330874394914336,140.2689802408522,,,,,2.2267693507170376,305.5626261573768,2.073847054524859,,27.084394605571653,,,,2.332150169121343,0.347,,,,1.300311340129316,34.40514106539264,19.06997177561186,,223.44263574156466,63.108037166701195,,13.502776851299615,71.89750969659269,18.622562591813892,142.9240711211356,2.0356818228758846,406.7747661471024,4.228442594615827,31.80825334316756,2.5775024582108035,,12.071748109995085,2.3704170457446563,0.2880238398006761,3.809158576220445,,,,,,6.100650868659608,2.5208594399925057,,,0.41934646245744744,0.537346712145419,31.0487814923557,,,0.9579777393617801,,,,1.034979630815603,90.15846812460889,2.0621671187587727,,,9.636918899554965,0.6483803202783183,,0.47699999999999987,,0.8151252416841751,59.13641466342137,,8.800269855250406,0.9409607612490333,,10.587737593809502,,13.501124254195233,,4.520519860611214,27.13976738102565,,1.1209460828499058,,1.3811190895013608,7.54717354272572,21.742165583675742,2.5390255477264687,89.75343918084418,16.6198416515843,7.85720726820029,1.3423103665664708,130.47044706920636,,,,,27.969091510719874,341.08600397892013,0.13099999999999998,,,,,,66.42286705439288,1.1824775366315745,,,,28.770621635648748,12.943013523639394,4.821114640636122,,,70.03839537136754,73.97860716869573,2.7635615480587994,,,,,,24.42410628699384,29.316149818223842,,56.38218584740614,,51.68012200988968,,0.40273915700723,,4.06898977416856,5.210758267545444,55.8812546611685,,,0.47610691791150167,76.47388818379903,14.568554848356138,182.4973416502083,1.2449750341731585,1516.3303555179916,1.9935132179077988,,,27.06297390743117,10.37346479436095,,,0.9021405764765124,5.149950260497404,3926.678861088996,2509.9752541797366,3761.076472393379,2674.6575509712447,1322.5329121986874,188.84015051708346,2062.43817066864,34.54930868885533,1818.4848120754173,295.5955239441356,1747.154170510939,84.95942161254015,204.63048294570785
1997,,0.5943712687281296,,,,,,39.8865336985884,1.102007049431647,,75.89576254477126,25.59346571342521,7.066743686192892,,3.916566598172524,8.388375203432604,,11.989640064794456,46.56628546543523,,0.5234229256069233,,,,,0.764,91.58165026151755,,1.0754149899486691,12.420808957054225,0.3093294852378274,,0.6535209537830411,148.68675672846229,,,,,15.099117315466707,805.6213187313537,20.039797536870697,,,,1.97291825757785,2.001293024588723,5.8064847593886855,,,1.904857947961362,31.569166216134803,,,18.57489775653148,,,5.0040545166363515,5.285383370170337,30.702216542085555,1.9822125250374676,,,4.3221829888868575,1.2218833961622224,,,,,20.1697995895695,136.42392147023872,,,,,1.8901776567726072,293.4716922728005,2.417903308987307,,27.369748892942486,,,,2.7378335423731657,0.3489999999999998,,,,1.4754897061688932,37.76932123417309,18.78031718755389,,233.08884724223208,67.68591248936569,,13.404076004232536,73.20997716627868,19.25556154520975,144.29610402548053,2.2252398035435057,399.8555891385372,4.84999014767222,29.54867278800981,2.5157839615816386,,13.101094105543869,1.5143575928622643,0.303574854079924,3.7926449511360123,,,,,,5.873246395575182,2.3340210845753027,,,0.498545299275517,0.5412728640624758,32.98313388909547,,,0.8853429421476544,,,,1.0277963993916832,99.31930460985572,1.6853554258665697,,,9.348106249522537,0.5154938442862756,,0.4899999999999999,,0.8853318872463305,57.54736670368906,,9.272875799396461,1.0441469748734,,12.067766185625269,,13.468431473139482,,4.650206076914018,26.727862699890043,,1.270195614717069,,1.5409020429806322,8.424740795859835,24.020816592663365,2.937284563852881,87.95235573540457,17.76414050058447,8.599340860996529,1.1378124881213265,132.85350225846108,,,,,25.402852539956093,325.64120144851694,0.136,,,,,,56.19203043594274,1.0934715876388794,,,,31.95015682285359,12.822206143852855,4.945629562368203,,,72.19907482233441,75.42186051848064,2.8086075776813395,,,,,,22.97710916807892,25.97483712308479,,61.42557609122085,,48.53010003674912,,0.3900286190614937,,3.8228644354057755,5.48834025177243,59.71108743384831,,,0.5221502023206679,73.96114264965179,15.014662387632166,181.71093875694467,1.2047312986079073,1543.0747801224122,2.190871850889146,,,32.49565385559586,12.494859756485626,,,1.1443732197453091,4.312298630321675,3913.9864177783047,2545.296533160293,3786.484891849855,2671.9563416987307,1300.1035242504297,192.24202857674604,2064.9302818426354,34.996907921074836,1774.8836408115255,292.4014865652713,1791.6395234816446,87.42706815721755,220.7600218526949
1998,,0.6809860347143726,,,,,,40.78687242917799,1.1037269695577858,,81.1786352606563,26.537069031061204,8.254741792355548,,4.407132831729555,8.150543229919377,,19.413278073006868,49.62868084688938,,0.5746551405564152,,,,,0.9119999999999997,93.77300989202234,,1.4743707476005925,12.199293950544561,0.45172719820601276,,0.7926569687097268,150.07814001729108,,,,,15.510482941179964,814.4238710166342,20.161129244227208,,,,2.2298047052977115,2.4095202669104223,5.760201991203522,,,2.3077248733117144,30.39262906976143,,,18.043544997065354,,,5.454784649634258,6.6948739076241175,35.26727025008313,2.2223264496552084,,,4.700129612400818,1.4413476837347479,,,,,19.57871098711703,143.02763695592049,,,,,1.9951885813445276,295.0072330255183,2.382898781546662,,29.4575405548161,,,,3.2282284464099757,0.33899999999999997,,,,1.6577464935190562,32.41307678455241,19.09833174459479,,237.9757011721695,37.799976589161126,,13.417074547869506,84.87598888460508,19.780337702906877,147.35142900628082,2.643635347459923,376.70760022551167,4.997185547178477,30.547211698997554,3.5949035731915364,,14.70110799934757,2.8870479636616073,0.33122401483459224,3.732519977848969,,,,,,6.0379305928100875,2.085219184057882,,,0.6302884358104582,0.530414069893567,23.08021113854572,,,1.203149100417467,,,,1.0078331387654527,104.92921653619338,1.7771985480467027,,,9.91590834898271,0.8093882931249778,,0.5199999999999998,,1.180400643273049,58.92157241728857,,8.512127478246262,1.1450127966915131,,12.177190047780822,,14.451936242220043,,5.325556280219247,26.731479486467666,,1.4440027728589415,,1.5074201701968228,8.661788068593404,21.620039511038357,3.117134552989427,80.58528758002844,19.114446570438776,7.750201764609396,1.127132724604498,95.7483364041481,,,,,24.30086851560996,289.72369551454915,0.133,,,,,,59.8037992784209,1.1492698410414999,,,,26.837096890186498,12.992735417164853,5.081448535605237,,,70.9645732246706,79.94471581537651,3.0255958189527465,,,,,,23.21549924010101,31.641321414247138,,59.7794378303421,,36.44456364198729,,0.47979278884961835,,4.0490168473068815,5.14050081230205,60.66777110272036,,,0.7301830560621175,63.44078276589201,24.416212607585624,188.6976746073632,1.1713147076481771,1588.3104904456163,2.327658534253573,,,42.44573968166454,12.9811666338927,,,1.1103761285597349,3.848651103399395,3923.9938041354203,2502.379725583057,3814.395005517658,2610.938874204367,1322.4202987484662,206.42889132636492,1920.679869915048,36.42659379298966,1766.6500297053826,323.8371862440433,1843.9501588177482,91.96335587593065,236.43239784852756
1999,,0.9886898570844741,,,,,,41.76447846726197,1.419665684402425,,80.35985440111334,25.49104715968914,7.366665308416998,,2.9124983103022544,8.188873602866487,,18.559535757505664,50.43049917714784,,0.5774281686594034,,,,,0.8619999999999999,88.4797470149172,,0.849253502764017,11.107682789619005,0.5146744529907183,,0.722843643343508,148.93547993682552,,,,,16.32578992963131,855.8320534976315,16.14388203981743,,,,2.7520103196339165,1.7360307157927026,5.977624790264238,,,2.129424536242498,28.704389207020313,,,18.664952574410513,,,5.758051820961077,5.824602362636673,37.12732121993287,2.1385512783483236,,,5.300509205934997,1.4038419690104695,,,,,20.328731141527218,140.291321645538,,,,,1.6042605750292396,290.7117583745046,2.5022221384595515,,28.522974884107274,,,,3.2075546309566745,0.34699999999999986,,,,1.8178124920776149,28.621519755531715,19.28861551831478,,257.2354305852605,57.230336140190104,,14.453857004106029,91.33067383830964,17.488752555353905,150.04462976460218,2.5744364177150914,396.5775045610252,4.663091813560302,26.469009620980156,3.1981387926574385,,12.336831921148685,1.5626322720635861,0.35661328562997074,3.3417090830753735,,,,,,5.447621971645347,2.2482357521043896,,,0.7094705210156516,0.5697633735919942,26.353896975344032,,,1.0408506747448996,,,,1.0542003998207046,106.39795410904455,1.821092628846971,,,10.629852128982362,1.0904262591812306,,0.45399999999999996,,1.7136336878577998,52.36114986871655,,9.570965002655397,1.2117497793670544,,10.26212772444676,,10.961464561984076,,5.470883831923411,29.275167547768508,,1.5698297931629697,,1.5166076569973332,9.078889844697509,22.89877153200507,3.184477154744152,83.68184586055969,20.240967432152427,4.866840631652599,0.9599164366980499,117.32901064808657,,,,,21.775551179069208,285.219899605722,0.13899999999999998,,,,,,52.57440927188654,1.1664906478955344,,,,27.95763306386091,12.406658291867654,4.82733672375803,,,77.11486977962393,84.71654326390309,3.748910935634529,,,,,,21.978189689065665,27.75914167786116,,62.920789703587985,,42.37734554562696,,0.448815926583371,,4.057126271205077,5.218817832170608,60.834042063119966,,,0.759030777518558,63.00801782706588,19.694633436194167,183.35439053227861,1.2239825187074198,1637.9049717234868,2.6590113488763145,,,34.27392400050336,11.899266849476955,,,0.910606563672809,3.933691575015553,3966.904797706983,2574.417241581435,3888.493534241497,2651.9197995226596,1308.8690680959694,205.7683466510238,2053.4568979508226,39.2089193485902,1734.5600379155253,300.72136221708683,1894.8765258010685,92.02831736936776,220.69623231491627
2000,,1.0292353623376322,,,,,,39.39750018413006,1.1144801309589742,,78.87426154151986,25.71228151468999,7.128936469600283,,3.5571844318080825,9.257319225738213,,17.892330202779362,52.333941130316845,,0.6974780063687743,,,,,2.3522332935456776,92.24853020334092,,0.8487711143696705,11.92478626854178,0.3970778323930956,,0.7398721466113511,154.43651155356574,,,,,16.27495941270257,869.2674206165756,16.369476093754745,,,,2.4596383689124464,1.5649359708390536,5.78580819483448,,,2.527393594483009,31.311327747939213,,,17.54758474060224,,,6.433927489244427,5.641329549813543,39.04321974090729,2.191788402332575,,,4.9852917632105,1.3799643802366202,,,,,20.56313723436036,142.8634101599669,,,,,1.5113990423239807,291.5675978772227,2.3264416686084974,,30.080351778053217,,,,3.409457596212359,0.349,,,,2.0576008524120866,30.296462628163145,19.081727368134853,,257.2158200639812,62.21473733435821,,14.92355314602819,88.86824395392456,18.232773171718026,156.51954299159084,2.103782639413136,415.18537378447394,4.749252300564279,29.26219071001552,2.745245085646684,,8.91008395335684,1.3531458074968559,0.47668223470551946,3.368896071319172,,,,,,5.0908157973980055,2.071611963410369,,,0.6211902309066895,0.506857670995904,30.540382638455043,,,1.1375450799491267,,,,1.1743709624748793,111.29743726221189,1.8190191573470154,,,11.101873823303034,1.1797672532438108,,1.4041387546768587,,1.0586129953702303,53.19662768011379,,9.289660674388037,1.256108548750752,,12.290924770989639,,9.320056560563167,,5.756929163789403,30.952094814673387,,1.4939444258948524,,1.3550329890673734,9.35437070545563,24.799759178030257,2.8209933556084827,80.6054770530739,21.611666316234558,4.918918055761582,1.1773624365936013,133.78867118884276,,,,,22.753232215808634,283.12440052850496,0.144,,,,,,58.77376420005681,1.260134173509052,,,,32.42337789402339,12.32297857066756,5.077688905080133,,,75.8267730786348,89.1805929414843,4.078034955393841,,,,,,22.465573684913924,30.107530710569794,,68.13788077913918,,44.470949277906506,,0.41967941961420646,,3.78623052870008,6.068447332441967,71.56104076137606,,,0.6478630436466282,56.62559695514475,24.733344863637683,186.34188533265592,1.3301369429247274,1709.6453686617865,2.268907279599284,,,26.66296105253701,13.338560008230186,,,1.106746338007366,3.2620224576909433,4076.883333567884,2652.647126611219,4038.37749518347,2690.16578084592,1332.9523271220849,206.470577437081,2131.5038647579363,41.92587919686127,1750.990534218453,317.74402291171214,1976.9513330008954,90.22543066896172,213.7088182561409
2001,,1.102481683980434,,,,,,36.42164605314205,1.1550860759093533,,80.7279550785856,26.428057782057998,7.20583879573595,,3.0131282494384597,11.313140319258027,,16.596339319182473,51.50690400622916,,0.7933645168294887,,,,,2.1578028394799196,91.140260081556,,0.8272613980944,12.424905527357973,0.4201926539492924,,0.9221155946479551,148.85662458927374,,,,,14.811070836684918,934.8628905885904,16.086363463514044,,,,2.693768328157711,1.7759878230239508,6.466158316395409,,,2.466838182107151,31.379135398866318,,,17.594998069862438,,,6.3063665113455825,6.931471406920518,34.42094713216858,2.3689302014374523,,,4.841742224589099,1.6216371232704903,,,,,21.551983670143084,141.05717462738372,,,,,1.4352152792656265,290.3296638830573,2.4581358742719708,,30.32548309984766,,,,3.702274451062321,0.354,,,,2.2548921383699785,32.04426073337821,19.67070000743386,,262.41113206816533,68.56452806697806,,15.144634641995596,96.78251512693039,19.324262494293553,154.38327051971496,2.720195613395452,403.0789708559418,5.461335309332973,30.41771144068894,2.886785557570445,,11.068517782314549,1.1148429621712874,0.4090992262894834,3.299374818705178,,,,,,4.934033876653711,2.2383700377936844,,,0.6357422934236743,0.5089618621877814,32.059034023901965,,,1.2222876829278446,,,,1.134415045861692,114.40009112986013,1.8910002332330422,,,11.72994125054124,1.1253756573867637,,1.6094246689048177,,1.1042754214762838,52.27361012430827,,9.550199884833518,1.3173295631646524,,16.49942229144418,,9.40424304089092,,5.217753729817786,30.693789348342786,,1.5610544680752814,,1.3762990499670396,8.441838220316155,23.99797735996578,2.673071219209081,79.23020351177496,21.330124307793554,5.8874344422314175,1.3017254727160417,129.47963006838472,,,,,24.30025747613872,316.206913053177,0.14499999999999996,,,,,,61.89117241325289,1.3687137799476605,,,,28.66145460093688,12.802682677867208,4.986571849370959,,,71.1520354253483,89.8446243756637,4.201626913866763,,,,,,21.36748627018708,27.22728255004513,,61.7433755303934,,46.15894980047857,,0.46124487338933773,,4.306808044181507,5.736947443044186,57.557519752938816,,,0.7855573986652196,67.89346472154105,29.413938198385136,188.37074522275444,1.423040558731574,1685.5903922374607,2.064578853604244,,,35.20048900464647,15.162517164279654,,,1.108239163486296,3.0609935466696743,4077.5868984467097,2742.039081524642,3976.6664088278894,2841.9916150324498,1331.7720221889813,205.82370819239603,2191.3907279324335,43.12591184835114,1790.227653871312,329.6560583891632,1950.318886089767,92.56835227131398,216.4906976103972
2002,,1.3553308349818078,,,,,,25.31978588499894,1.0131565543055292,,86.38846934805211,26.61446825598029,8.131417025234883,,3.3293440804065644,10.615427807270219,,17.14756609498056,54.26369841266245,,0.9020657307676936,,,,,0.8810092411037268,86.90084585094024,,0.8419352129642079,11.748235099113952,0.452111495755237,,0.7057879434110466,154.7661308654272,,,,,15.889965071066639,998.668732587395,17.003842153550444,,,,3.8692936872686547,1.409921338530183,6.858907908658636,,,2.9708544907929113,32.06312607829549,,,17.84957307690654,,,6.236803733748829,7.997755756599444,34.76769208260461,2.3822586884521626,,,5.131756502241461,1.6199600137746073,,,,,21.404135569006073,141.51480067613087,,,,,1.3259750115055469,282.2435748221786,2.551988701810195,,30.938331979056624,,,,4.130193315150615,0.36099999999999993,,,,2.5143671527523597,28.004425757843986,20.72336914799922,,263.120476103814,76.09944531789208,,15.431889803190591,94.54253372695986,18.295504144898107,157.752045810296,2.287607025930059,408.33599924828206,5.964435214131545,32.833702026969505,2.019940999049324,,11.896153394913194,1.289956068912296,0.5050434335116489,3.1213746898941794,,,,,,5.767642719707863,2.4282078746321196,,,0.45988846929408006,0.58204176192046,34.76282974320002,,,1.0178492746517231,,,,1.1923919291311733,114.79360686960291,2.0224082482114225,,,12.779704292336016,1.2177454284636995,,0.40641332215191783,,1.0439752011738632,54.69078654822362,,10.025367357503656,1.3687005151611051,,20.176277738204394,,10.832262494908987,,6.362124393387061,32.965316062001385,,1.5565771271056656,,1.2305452367098468,8.953485026864236,23.368964750105548,2.756297835655686,77.10868389309397,22.14580018660325,6.7477770995273625,1.2993930975677448,140.60539718846042,,,,,24.28309762507497,318.03906922880566,0.14499999999999996,,,,,,67.00431524272321,1.70700529171443,,,,28.706735376135686,12.45126741271892,5.039554127156895,,,66.84990750593497,97.06084186823918,4.676132983337198,,,,,,22.07452802720289,25.313144579971958,,67.35361662015534,,47.143357332478466,,0.487882694604582,,5.029222818291648,5.88222719708779,64.0247790713187,,,0.6994032458171707,66.89031777312368,26.960896178964628,187.06951021019879,1.5605483108579667,1718.686037048534,1.691838416770924,,,32.027346207585694,17.69213851334095,,,1.1310959607401798,3.4222409319008555,4137.911385047745,2831.0996688235173,4053.9566135700416,2914.1990615225486,1341.7679120899084,206.5429042158789,2292.9875325640865,44.64240542440658,1802.237260589285,334.0188980602599,1988.8279467307746,98.81903248806921,200.9186590142434
2003,,1.5064221306132923,,,,,,31.20316352639634,1.2033695910585978,,90.6661547455079,27.2684598729446,9.217663309175428,,3.272358588590056,13.247590510854291,,16.834720620864058,53.32571842293883,,1.0420657540107834,,,,,3.9370566381241536,83.95778618432028,,1.2780561417577891,12.625148037979638,0.5335445334404701,,1.305762641200581,149.6414947194845,,,,,15.075257155614693,1121.1628122914465,16.46143212849116,,,,3.0583670635760996,1.9608612030694266,7.359315237092355,,,2.7191097117056784,31.77175815867812,,,18.655503483433407,,,5.566830863199905,8.255614536107917,38.198354580287806,2.495877997052269,,,5.569832221944323,1.8897425048467948,,,,,24.073099937497847,143.2536541701078,,,,,1.5089118653730047,290.94535176867055,2.932310840800753,,26.980097391459402,,,,3.740338195647142,0.36599999999999994,,,,2.4212700006576107,27.069717749899223,22.262621207244443,,278.7797539419225,80.41492035802429,,17.22393333959516,111.71549899909053,21.078069906220612,159.03172500581184,2.6691792398794005,414.2405427965825,6.081148609630209,34.887979585981356,2.630378512319765,,14.443366524226205,1.6894362581037714,0.47171726750909376,3.9060856497102416,,,,,,5.73611675189523,2.9734967854762955,,,0.8106725756055352,0.5541709487240694,37.49202433752758,,,1.3654140661655372,,,,1.258081314428318,120.610706838334,2.268574889303188,,,11.562538959152324,1.2042521180677241,,1.218226242954512,,1.3997419802905522,53.75091965241173,,10.379738191285345,1.5553936942007602,,20.67483949365173,,12.252226918618812,,7.849925674326703,33.593799317685075,,0.06677959059375937,,1.335846032715643,8.067335681202573,25.12297239056716,3.401922565407304,77.1251683438004,21.377034619175408,7.055332887826601,1.4893293034740236,141.1904152276714,,,,,25.740279035869932,334.43292097545856,0.14200000000000002,,,,,,82.68366876924199,1.5998411574557843,,,,28.960493978721903,12.088536397113465,5.041817599423258,,,76.4469912371299,98.9090456808621,4.5351620606392515,,,,,,23.4748451106311,29.12949868945876,,68.96375282635539,,54.26185468285482,,0.634886288741765,,3.8780642304799087,5.671748288207472,69.30782183480989,,,0.8135246111055727,59.508535780302886,36.70044470910166,193.56445891093227,1.7402751652824733,1740.9520195064729,1.77664816574726,,,38.158876439324466,23.42164766501808,,,1.1134403796369357,2.7875209725233985,4206.240777386142,3112.246978643935,4123.1910246102125,3194.2931091495943,1368.118546570571,231.87643490669245,2473.4916843540163,42.856204092159594,1844.4752187481383,399.43157246508815,2013.7627102965318,103.74789983815006,208.8403344970615
2004,,1.453613063777175,,,,,,36.61114103006332,1.222160332112247,,94.92478016319026,28.10911338357224,9.885967593993618,,3.2302178928754,13.637753350874693,,17.793995763811164,59.61826058546662,,1.001196724986328,,,,,2.6977676435482802,87.43068089573009,,1.218221845031579,12.382602758166689,0.6008697121361045,,1.3805857952977223,155.1331509117901,,,,,15.781773262923178,1255.4844408324136,16.106065840555043,,,,3.2419893899470287,2.151229127971506,7.283424999463015,,,2.4930103200526617,29.520855606473564,,,19.204905622181556,,,4.881533473121792,8.707521579689384,36.115705748081346,2.449964939298316,,,4.989446635545565,1.9020448329030932,,,,,25.125304703450585,151.056193367609,,,,,1.773960987826212,294.08953059556063,3.271495542060549,,26.447322387296754,,,,3.9203861859909335,0.36599999999999994,,,,2.424945983812085,25.21510973612406,21.367615294010037,,295.2211316618236,84.98052602834221,,18.33430405556574,117.42767195456106,20.220711464280008,166.20923232467325,2.634790756709701,418.177577202847,6.890858010669413,35.86814663283791,2.9660670213002396,,14.996947943890383,1.877153836994901,0.542088222010645,3.86734079512289,,,,,,5.675297939419858,3.656930989331612,,,0.6840740036685775,0.5389555822180325,39.37697691455469,,,0.9152261848961735,,,,1.3080788943645996,120.21089784344261,2.2955750931426153,,,13.104902000169886,1.1681381384094551,,1.536547931779519,,1.1863316267073973,54.38947513673259,,10.9425647921633,1.537680604819548,,22.93640401099078,,12.041172490979429,,6.599402376912981,37.80778459842225,,0.21780866407998348,,1.4411349006088245,9.055653825327688,25.049790247692552,3.0276484703892224,78.35111685797003,22.494418850035647,6.968248897729371,1.45316977694252,146.0061702155406,,,,,26.425505109137003,338.5517607664724,0.14400000000000002,,,,,,95.92015506224735,1.6583834907612756,,,,30.64791044936368,12.10534767001663,5.026607251500371,,,88.34959037261036,107.59803984660911,4.858340790018838,,,,,,24.110727777529874,29.32932285386363,,79.06868194537405,,61.2666658554166,,0.6385671109784047,,3.805198059601091,5.899309381418086,76.97279758455664,,,0.8553505300686458,57.88010391440319,41.65508311769063,200.8273901708375,1.9011214832973964,1803.2523871422313,2.078941996377589,,,30.903820898972803,26.48968038048505,,,1.065207349312269,2.651679908668045,4329.554365797377,3356.6862661226237,4255.6254450397755,3429.559952034066,1411.6745472182274,246.76763279465555,2666.683848044542,40.9551411393011,1894.005379853976,437.7979405461117,2079.2694451212224,108.47757696819258,212.2816674520007
